Timestamp,Open,High,Low,Close,Volume
1733630400000,99934.83000000,100030.00000000,99336.00000000,99675.11000000,1590.35590000
1733644800000,99675.11000000,99844.28000000,98657.70000000,99701.16000000,2557.39593000
1733659200000,99701.17000000,100500.00000000,99357.16000000,99912.01000000,3388.44325000
1733673600000,99912.01000000,100198.00000000,99480.00000000,100100.98000000,2219.63339000
1733688000000,100100.99000000,101351.00000000,99736.06000000,101109.59000000,3168.95389000
1733702400000,101109.60000000,101215.93000000,98432.18000000,99090.84000000,6131.57247000
1733716800000,99090.84000000,99729.88000000,98328.00000000,99576.51000000,4641.05371000
1733731200000,99576.51000000,99679.71000000,98035.57000000,98088.47000000,5754.93600000
1733745600000,98088.47000000,100421.80000000,97508.58000000,97812.00000000,10565.60263000
1733760000000,97812.00000000,98398.00000000,97000.00000000,97070.32000000,7646.39206000
1733774400000,97070.33000000,97572.52000000,94150.05000000,97276.47000000,19209.55908000
1733788800000,97276.48000000,98138.00000000,95565.41000000,96931.99000000,7967.90111000
1733803200000,96931.99000000,97519.20000000,95900.00000000,97196.44000000,4851.30267000
1733817600000,97196.44000000,97937.50000000,96938.19000000,97722.52000000,3732.90811000
1733832000000,97722.53000000,98270.00000000,95555.00000000,95658.79000000,11589.32855000
1733846400000,95658.79000000,96500.00000000,94256.54000000,95856.50000000,17282.11364000
1733860800000,95856.50000000,97200.70000000,95616.00000000,96593.00000000,6285.13525000
1733875200000,96593.00000000,97625.76000000,95658.24000000,97398.43000000,6101.81371000
1733889600000,97398.42000000,97790.36000000,97181.70000000,97334.60000000,2882.63101000
1733904000000,97334.59000000,98472.57000000,97316.78000000,98292.61000000,3915.05820000
1733918400000,98292.61000000,100800.00000000,98072.33000000,100361.64000000,10646.28169000
1733932800000,100361.64000000,101141.01000000,99608.23000000,101122.71000000,9214.79257000
1733947200000,101122.71000000,101888.00000000,100866.42000000,101125.00000000,4993.20573000
1733961600000,101125.00000000,101829.00000000,100331.61000000,101025.87000000,4584.27765000
1733976000000,101025.88000000,101191.85000000,100402.82000000,100499.99000000,3018.02596000
1733990400000,100499.99000000,101126.54000000,100178.32000000,100358.42000000,2593.08394000
1734004800000,100358.42000000,101861.60000000,100348.35000000,101797.14000000,7527.72986000
1734019200000,101797.14000000,102540.00000000,99311.64000000,99481.32000000,7934.57131000
1734033600000,99481.33000000,100476.19000000,99465.33000000,100004.29000000,3574.39873000
1734048000000,100004.29000000,100356.85000000,99205.00000000,99729.09000000,3169.68724000
1734062400000,99729.09000000,100225.52000000,99500.00000000,100130.00000000,2722.44317000
1734076800000,100130.01000000,100789.00000000,99896.00000000,100353.37000000,2260.04806000
1734091200000,100353.37000000,101375.26000000,99700.00000000,99873.16000000,4395.11384000
1734105600000,99873.16000000,101895.26000000,99800.00000000,101462.34000000,6176.84479000
1734120000000,101462.34000000,101879.98000000,101090.90000000,101424.25000000,3179.90213000
1734134400000,101424.24000000,102650.00000000,101148.35000000,102088.00000000,4102.31163000
1734148800000,102088.00000000,102138.00000000,101590.90000000,101824.00000000,2355.50886000
1734163200000,101824.00000000,101863.64000000,101321.00000000,101583.99000000,1246.03828000
1734177600000,101584.00000000,101742.43000000,100826.38000000,101625.12000000,2737.98405000
1734192000000,101625.12000000,101737.70000000,100831.63000000,101313.54000000,2313.84837000
1734206400000,101313.54000000,101499.08000000,100609.41000000,101420.00000000,1436.01207000
1734220800000,101420.00000000,102196.97000000,101237.14000000,101733.82000000,2717.24990000
1734235200000,101733.83000000,102850.00000000,101534.01000000,101732.09000000,3091.00658000
1734249600000,101732.09000000,102691.01000000,101581.07000000,102671.44000000,1800.59415000
1734264000000,102671.44000000,103359.97000000,102473.01000000,102704.01000000,4918.19696000
1734278400000,102704.00000000,103490.00000000,102583.65000000,103252.95000000,2441.92022000
1734292800000,103252.96000000,105250.00000000,102621.50000000,104463.99000000,7259.95396500
1734307200000,104463.99000000,106648.00000000,104259.48000000,104582.28000000,8803.84824600
1734321600000,104582.28000000,105420.76000000,104469.89000000,104992.79000000,3083.27266000
1734336000000,104992.79000000,105016.85000000,103625.78000000,103757.99000000,3972.26006000
1734350400000,103758.00000000,106499.99000000,103333.00000000,106332.01000000,9289.30941000
1734364800000,106332.00000000,107793.07000000,105797.41000000,106583.12000000,11995.10426400
1734379200000,106583.13000000,106648.48000000,105480.02000000,106058.66000000,4158.60810000
1734393600000,106058.65000000,107000.00000000,105657.34000000,106866.49000000,3882.88127000
1734408000000,106866.50000000,107143.29000000,106368.45000000,106805.75000000,2937.82223000
1734422400000,106805.75000000,107550.02000000,106708.86000000,106808.31000000,3622.94784000
1734436800000,106808.31000000,108353.00000000,105725.99000000,106478.47000000,8939.18045600
1734451200000,106478.48000000,107633.00000000,106148.00000000,106475.89000000,5875.35581000
1734465600000,106475.89000000,106903.99000000,105321.49000000,106133.74000000,3806.74886000
1734480000000,106133.74000000,106524.98000000,104581.58000000,104763.98000000,5784.93924000
1734494400000,104763.99000000,104763.99000000,103137.82000000,104250.75000000,7256.63713000
1734508800000,104250.75000000,105033.33000000,103729.18000000,105028.33000000,2927.64166000
1734523200000,105028.33000000,105350.00000000,103650.00000000,104428.54000000,7242.86665000
1734537600000,104428.54000000,104999.98000000,102817.82000000,102817.82000000,9166.33778000
1734552000000,102817.82000000,102997.77000000,100000.00000000,100204.01000000,17929.57509000
1734566400000,100204.01000000,101310.25000000,98802.00000000,101193.15000000,11011.14924000
1734580800000,101193.15000000,101727.28000000,100629.99000000,101656.57000000,3199.07619000
1734595200000,101656.57000000,102609.72000000,101380.10000000,102449.99000000,4074.86626000
